Date,^MERV,^BVSP,^DJI,^GSPC,^STOXX50E,^HSI,^FTSE,^N100,^GSPTSE,^KS11,^IXIC,^AXJO,^GDAXI,^NSEI,000001.SS,FTSEMIB.MI,^FCHI,^RUT,^N225,^IBEX
2018-06-26,28474.0,71405.0,24283.109375,2723.06005859375,3368.719970703125,28881.400390625,7537.89990234375,1035.6300048828125,16280.099609375,2350.919921875,7561.6298828125,6197.60009765625,12234.33984375,10769.150390625,2844.508056640625,21419.0,5281.2900390625,1668.530029296875,22342.0,9637.400390625
2018-06-27,25921.0,70609.0,24117.58984375,2699.6298828125,3397.1298828125,28356.259765625,7621.7001953125,1044.7900390625,16231.2998046875,2342.030029296875,7445.080078125,6195.89990234375,12348.6103515625,10671.400390625,2813.177978515625,21558.0,5327.2001953125,1640.449951171875,22271.76953125,9658.599609375
2018-06-28,26789.0,71767.0,24216.05078125,2716.31005859375,3365.52001953125,28497.3203125,7615.60009765625,1036.489990234375,16179.900390625,2314.239990234375,7503.68017578125,6215.39990234375,12177.23046875,10589.099609375,2786.89697265625,21432.0,5275.64013671875,1645.02001953125,22270.390625,9589.0
2018-06-29,26037.0,72763.0,24271.41015625,2718.3701171875,3395.60009765625,28955.109375,7636.89990234375,1044.81005859375,16277.7001953125,2326.1298828125,7510.2998046875,6194.60009765625,12306.0,10714.2998046875,2847.41796875,21626.0,5323.52978515625,1643.0699462890625,22304.509765625,9622.7001953125
2018-07-02,25298.0,72840.0,24307.1796875,2726.7099609375,3372.2099609375,,7547.89990234375,1035.81005859375,,2271.5400390625,7567.68994140625,6177.7998046875,12238.169921875,10657.2998046875,2775.556884765625,21427.0,5276.759765625,1655.0899658203125,21811.9296875,9558.2998046875
2018-07-03,27092.0,73668.0,24174.8203125,2713.219970703125,3406.340087890625,28545.5703125,7593.2998046875,1043.6099853515625,16263.2001953125,2272.760009765625,7502.669921875,6210.2001953125,12349.1396484375,10699.900390625,2786.887939453125,21764.0,5316.77001953125,1660.4200439453125,21785.5390625,9660.900390625
2018-07-04,27703.0,74743.0,,,3412.030029296875,28241.669921875,7573.10009765625,1043.719970703125,16304.7001953125,2265.4599609375,,6183.39990234375,12317.6103515625,10769.900390625,2759.1259765625,21687.0,5320.5,,21717.0390625,9757.5
2018-07-05,27813.0,74553.0,24356.740234375,2736.610107421875,3440.919921875,28182.08984375,7603.2001953125,1050.1300048828125,16266.599609375,2257.550048828125,7586.43017578125,6215.5,12464.2900390625,10749.75,2733.882080078125,21914.0,5366.31982421875,1679.47998046875,21546.990234375,9866.2001953125
2018-07-06,27611.0,75010.0,24456.48046875,2759.820068359375,3448.489990234375,28315.619140625,7617.7001953125,1053.739990234375,16371.7998046875,2272.8701171875,7688.39013671875,6272.2998046875,12496.169921875,10772.650390625,2747.22900390625,21926.0,5375.77001953125,1694.050048828125,21788.140625,9905.0
2018-07-09,,,24776.58984375,2784.169921875,3460.43994140625,28688.5,7688.0,1059.06005859375,16452.30078125,2285.800048828125,7756.2001953125,6286.0,12543.8896484375,10852.900390625,2815.110107421875,22033.0,5398.10986328125,1704.5999755859375,22052.1796875,9927.0
2018-07-10,27635.0,74862.0,24919.66015625,2793.840087890625,3473.31005859375,28682.25,7692.0,1065.219970703125,16548.69921875,2294.159912109375,7759.2001953125,6258.10009765625,12609.849609375,10947.25,2827.625,22057.0,5434.35986328125,1695.6199951171875,22196.890625,9889.2998046875
2018-07-11,27232.0,74399.0,24700.44921875,2774.02001953125,3422.35009765625,28311.689453125,7592.0,1052.8900146484375,16417.30078125,2280.6201171875,7716.60986328125,6215.60009765625,12417.1298828125,10948.2998046875,2777.77099609375,21708.0,5353.93017578125,1683.6600341796875,21932.2109375,9733.599609375
2018-07-12,26705.0,75856.0,24924.890625,2798.2900390625,3445.489990234375,28480.830078125,7651.2998046875,1061.949951171875,16567.400390625,2285.06005859375,7823.919921875,6268.2998046875,12492.9697265625,11023.2001953125,2837.658935546875,21790.0,5405.89990234375,1690.280029296875,22187.9609375,9767.400390625
2018-07-13,26514.0,76594.0,25019.41015625,2801.31005859375,3454.5400390625,28525.439453125,7661.89990234375,1066.1700439453125,16561.099609375,2310.89990234375,7825.97998046875,6268.39990234375,12540.73046875,11018.900390625,2831.18408203125,21892.0,5429.2001953125,1687.0799560546875,22597.349609375,9734.7998046875
2018-07-16,26264.0,76653.0,25064.359375,2798.429931640625,3449.080078125,28539.66015625,7600.5,1062.739990234375,16494.69921875,2301.989990234375,7805.72021484375,6241.5,12561.01953125,10936.849609375,2814.0419921875,21823.0,5409.43017578125,1678.5400390625,22597.349609375,9716.900390625
2018-07-17,26765.0,78130.0,25119.890625,2809.550048828125,3457.5,28181.6796875,7626.2998046875,1064.6400146484375,16519.19921875,2297.919921875,7855.1201171875,6203.60009765625,12661.5400390625,11008.0498046875,2798.1259765625,21978.0,5422.5400390625,1687.260009765625,22697.359375,9719.400390625
2018-07-18,27045.0,77363.0,25199.2890625,2815.6201171875,3485.080078125,28117.419921875,7676.2998046875,1070.93994140625,16477.400390625,2290.110107421875,7854.43994140625,6245.10009765625,12765.9404296875,10980.4501953125,2787.257080078125,21972.0,5447.43994140625,1691.8699951171875,22794.189453125,9753.2001953125
2018-07-19,26814.0,77487.0,25064.5,2804.489990234375,3471.639892578125,28010.859375,7684.0,1068.530029296875,16543.0,2282.2900390625,7825.2998046875,6262.7001953125,12686.2900390625,10957.099609375,2772.544921875,21885.0,5417.06982421875,1701.31005859375,22764.6796875,9721.099609375
2018-07-20,27625.0,78571.0,25058.119140625,2801.830078125,3460.030029296875,28224.48046875,7678.7998046875,1067.3800048828125,16435.5,2289.18994140625,7820.2001953125,6285.89990234375,12561.419921875,11010.2001953125,2829.27099609375,21795.0,5398.31982421875,1696.81005859375,22697.880859375,9724.7998046875
2018-07-23,27704.0,77996.0,25044.2890625,2806.97998046875,3454.050048828125,28256.119140625,7655.7998046875,1063.6199951171875,16420.80078125,2269.31005859375,7841.8701171875,6227.60009765625,12548.5703125,11084.75,2859.5419921875,21605.0,5378.25,1698.4100341796875,22396.990234375,9726.099609375
2018-07-24,28273.0,79155.0,25241.939453125,2820.39990234375,3483.31005859375,28662.5703125,7709.10009765625,1072.300048828125,16390.099609375,2280.199951171875,7840.77001953125,6265.7998046875,12689.3896484375,11134.2998046875,2905.56201171875,21875.0,5434.18994140625,1680.199951171875,22510.48046875,9773.099609375
2018-07-25,29364.0,80218.0,25414.099609375,2846.070068359375,3468.449951171875,28920.900390625,7658.2998046875,1072.27001953125,16420.80078125,2273.030029296875,7932.240234375,6247.60009765625,12579.330078125,11132.0,2903.64697265625,21561.0,5426.41015625,1685.199951171875,22614.25,9703.099609375
2018-07-26,29205.0,79405.0,25527.0703125,2837.43994140625,3509.260009765625,28781.140625,7663.2001953125,1076.030029296875,16455.69921875,2289.06005859375,7852.18017578125,6244.5,12809.23046875,11167.2998046875,2882.22509765625,21863.0,5480.5498046875,1695.3599853515625,22586.869140625,9780.0
2018-07-27,29259.0,79866.0,25451.060546875,2818.820068359375,3527.179931640625,28804.279296875,7701.2998046875,1080.719970703125,16394.0,2294.989990234375,7737.419921875,6300.2001953125,12860.400390625,11278.349609375,2873.593994140625,21955.0,5511.759765625,1663.3399658203125,22712.75,9867.900390625
2018-07-30,29232.0,80276.0,25306.830078125,2802.60009765625,3512.31005859375,28733.130859375,7700.89990234375,1075.8699951171875,16345.5,2293.510009765625,7630.0,6278.39990234375,12798.2001953125,11319.5498046875,2869.050048828125,21941.0,5491.22021484375,1653.1300048828125,22544.83984375,9854.099609375
2018-07-31,29287.0,79220.0,25415.189453125,2816.2900390625,3525.489990234375,28583.009765625,7748.7998046875,1078.1600341796875,16434.0,2295.260009765625,7671.7900390625,6280.2001953125,12805.5,11356.5,2876.40087890625,22216.0,5511.2998046875,1670.800048828125,22553.720703125,9870.7001953125
2018-08-01,29388.0,79302.0,25333.8203125,2813.360107421875,,28340.740234375,7652.89990234375,1075.8499755859375,16376.7998046875,2307.070068359375,7707.2900390625,6275.7001953125,12737.0498046875,11346.2001953125,2824.533935546875,21791.0,5498.3701171875,1669.260009765625,22746.69921875,9799.2998046875
2018-08-02,28883.0,79637.0,25326.16015625,2827.219970703125,3469.2099609375,27714.560546875,7575.89990234375,1069.6800537109375,16409.19921875,2270.199951171875,7802.68994140625,6240.89990234375,12546.330078125,11244.7001953125,2768.02392578125,21415.0,5460.97998046875,1682.0999755859375,22512.529296875,9698.2001953125
2018-08-03,29216.0,81435.0,25462.580078125,2840.35009765625,3482.39990234375,27676.3203125,7659.10009765625,1075.0899658203125,16420.19921875,2287.679931640625,7812.009765625,6234.7998046875,12615.759765625,11360.7998046875,2740.443115234375,21587.0,5478.97998046875,1673.3699951171875,22525.1796875,9739.7998046875
2018-08-06,28894.0,81051.0,25502.1796875,2850.39990234375,3483.300048828125,27819.560546875,7663.7998046875,1074.989990234375,,2286.5,7859.68017578125,6273.0,12598.2099609375,11387.099609375,2705.156982421875,21580.0,5477.18017578125,1684.31005859375,22507.3203125,9722.7001953125
2018-08-07,27783.0,80347.0,25628.91015625,2858.449951171875,3504.3701171875,28248.880859375,7718.5,1081.31005859375,16286.2998046875,2300.159912109375,7883.66015625,6253.89990234375,12648.1904296875,11389.4501953125,2779.3740234375,21854.0,5521.31005859375,1688.300048828125,22662.740234375,9772.7998046875
2018-08-08,26675.0,79152.0,25583.75,2857.699951171875,3493.60009765625,28359.140625,7776.7001953125,1077.8800048828125,16315.099609375,2301.449951171875,7888.330078125,6268.5,12633.5400390625,11450.0,2744.070068359375,21790.0,5501.89990234375,1686.8800048828125,22644.310546875,9747.099609375
2018-08-09,26906.0,78768.0,25509.23046875,2853.580078125,3494.1298828125,28607.30078125,7741.7998046875,1078.52001953125,16417.0,2303.7099609375,7891.77978515625,6297.7001953125,12676.1103515625,11470.7001953125,2794.382080078125,21634.0,5502.25,1690.8900146484375,22598.390625,9754.599609375
2018-08-10,26856.0,76514.0,25313.140625,2833.280029296875,3426.280029296875,28366.619140625,7667.0,1062.510009765625,16326.5,2282.7900390625,7839.10986328125,6278.39990234375,12424.349609375,11429.5,2795.31005859375,21091.0,5414.68017578125,1686.800048828125,22298.080078125,9602.099609375
2018-08-13,26062.0,77496.0,25187.69921875,2821.929931640625,3409.679931640625,27936.5703125,7642.5,1060.969970703125,16250.7998046875,2248.449951171875,7819.7099609375,6252.2001953125,12358.740234375,11355.75,2785.8720703125,20969.0,5412.31982421875,1675.3199462890625,21857.4296875,9530.400390625
